제목,레벨,정답률,완료한 사람,링크
특수문자 출력하기,0,84.0,47349,https://school.programmers.co.kr/learn/courses/30/lessons/181948
[PCCE 기출문제] 5번 / 산책,0,84.0,14435,https://school.programmers.co.kr/learn/courses/30/lessons/250129
연도 별 평균 미세먼지 농도 조회하기,2,84.0,5332,https://school.programmers.co.kr/learn/courses/30/lessons/284530
물고기 종류 별 잡은 수 구하기,2,84.0,6311,https://school.programmers.co.kr/learn/courses/30/lessons/293257
잔챙이 잡은 수 구하기,1,84.0,9600,https://school.programmers.co.kr/learn/courses/30/lessons/293258
잡은 물고기 중 가장 큰 물고기의 길이 구하기,1,84.0,9935,https://school.programmers.co.kr/learn/courses/30/lessons/298515
평균 일일 대여 요금 구하기,1,84.0,36032,https://school.programmers.co.kr/learn/courses/30/lessons/151136
잘라서 배열로 저장하기,0,84.0,19537,https://school.programmers.co.kr/learn/courses/30/lessons/120913
문자열 내림차순으로 배치하기,1,83.0,56003,https://school.programmers.co.kr/learn/courses/30/lessons/12917
모든 레코드 조회하기,1,83.0,87303,https://school.programmers.co.kr/learn/courses/30/lessons/59034
부족한 금액 계산하기,1,83.0,51195,https://school.programmers.co.kr/learn/courses/30/lessons/82612
소인수분해,0,83.0,17216,https://school.programmers.co.kr/learn/courses/30/lessons/120852
이진수 더하기,0,83.0,15928,https://school.programmers.co.kr/learn/courses/30/lessons/120885
특정 옵션이 포함된 자동차 리스트 구하기,1,83.0,20129,https://school.programmers.co.kr/learn/courses/30/lessons/157343
배열 만들기 6,0,83.0,9981,https://school.programmers.co.kr/learn/courses/30/lessons/181859
왼쪽 오른쪽,0,83.0,11518,https://school.programmers.co.kr/learn/courses/30/lessons/181890
문자 개수 세기,0,83.0,12639,https://school.programmers.co.kr/learn/courses/30/lessons/181902
배열 만들기 4,0,83.0,15416,https://school.programmers.co.kr/learn/courses/30/lessons/181918
조건 문자열,0,83.0,27475,https://school.programmers.co.kr/learn/courses/30/lessons/181934
ROOT 아이템 구하기,2,83.0,6992,https://school.programmers.co.kr/learn/courses/30/lessons/273710
부서별 평균 연봉 조회하기,3,83.0,5810,https://school.programmers.co.kr/learn/courses/30/lessons/284529
월별 잡은 물고기 수 구하기,2,83.0,6549,https://school.programmers.co.kr/learn/courses/30/lessons/293260
공 던지기,0,82.0,19205,https://school.programmers.co.kr/learn/courses/30/lessons/120843
문자열 계산하기,0,82.0,18040,https://school.programmers.co.kr/learn/courses/30/lessons/120902
조건에 맞는 사용자 정보 조회하기,3,82.0,11930,https://school.programmers.co.kr/learn/courses/30/lessons/164670
두 수의 합,0,82.0,10819,https://school.programmers.co.kr/learn/courses/30/lessons/181846
문자열 여러 번 뒤집기,0,82.0,14106,https://school.programmers.co.kr/learn/courses/30/lessons/181913
[PCCE 기출문제] 4번 / 저축,0,82.0,15176,https://school.programmers.co.kr/learn/courses/30/lessons/250130
Python 개발자 찾기,1,82.0,11004,https://school.programmers.co.kr/learn/courses/30/lessons/276013
영어가 싫어요,0,82.0,18804,https://school.programmers.co.kr/learn/courses/30/lessons/120894
문자열 다루기 기본,1,81.0,61058,https://school.programmers.co.kr/learn/courses/30/lessons/12918
행렬의 덧셈,1,81.0,52464,https://school.programmers.co.kr/learn/courses/30/lessons/12950
없어진 기록 찾기,3,81.0,56532,https://school.programmers.co.kr/learn/courses/30/lessons/59042
구슬을 나누는 경우의 수,0,81.0,18484,https://school.programmers.co.kr/learn/courses/30/lessons/120840
삼각형의 완성조건 (2),0,81.0,16296,https://school.programmers.co.kr/learn/courses/30/lessons/120868
